SLy4 (TOV)  M1 =    1.40080e+00  R1 =    1.15988e+06  om0 =    1.09158e+04  Ebind =    4.46654e+53
        r,             rho,           pr,           grav,           m(r),         Gam1,          csq,          bruntsq,         nn,            np,            ne,           nmu,           mun,            mup,          mue,           mumu
    0.00000e+00    9.85271e+14    1.36000e+35    0.00000e+00    0.00000e+00    2.54934e+00    3.51893e+20    0.00000e+00    4.97309e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    1.15988e+02    9.85271e+14    1.36000e+35    3.19432e+10    3.23763e-12    2.54934e+00    3.51893e+20    3.43915e-03    4.97309e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    2.31976e+02    9.85271e+14    1.36000e+35    6.38864e+10    2.59011e-11    2.54934e+00    3.51893e+20    1.37566e-02    4.97309e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    3.47964e+02    9.85271e+14    1.36000e+35    9.58296e+10    8.74161e-11    2.54934e+00    3.51893e+20    3.09524e-02    4.97309e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    4.63952e+02    9.85270e+14    1.36000e+35    1.27773e+11    2.07208e-10    2.54934e+00    3.51893e+20    5.50264e-02    4.97308e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    5.79940e+02    9.85270e+14    1.36000e+35    1.59716e+11    4.04704e-10    2.54934e+00    3.51893e+20    8.59788e-02    4.97308e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    6.95928e+02    9.85270e+14    1.36000e+35    1.91659e+11    6.99328e-10    2.54934e+00    3.51893e+20    1.23809e-01    4.97308e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    8.11917e+02    9.85270e+14    1.36000e+35    2.23602e+11    1.11051e-09    2.54934e+00    3.51893e+20    1.68518e-01    4.97308e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    9.27905e+02    9.85270e+14    1.36000e+35    2.55546e+11    1.65767e-09    2.54934e+00    3.51893e+20    2.20106e-01    4.97308e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
    1.04389e+03    9.85270e+14    1.36000e+35    2.87489e+11    2.36023e-09    2.54934e+00    3.51893e+20    2.78571e-01    4.97308e+38    4.10008e+37    2.66076e+37    1.43932e+37    1.89764e-03    1.60564e-03    2.91994e-04    2.91994e-04
